BoroughName,trend_slope,recent_trend,avg_crime_rate,volatility,range_crime_rate,seasonal_strength,peak_month,monthly_variation,covid_impact,recovery_rate,Arson And Criminal Damage,Burglary,Drug Offences,Fraud And Forgery,Miscellaneous Crimes Against Society,Nfib Fraud,Possession Of Weapons,Public Order Offences,Robbery,Sexual Offences,Theft,Vehicle Offences,Violence Against The Person,crime_diversity,cluster
Lambeth,-0.0118557472018521,0.0233997716118052,9.308424949232148,1.0322888571274105,5.57535567424608,0.4608925952891247,7,0.0565685696711366,-0.2008982225635198,0.1237966265455006,6.563892130429479,14.944301128905702,6.215444216474632,0.493543518668543,1.0311436701359749,0.0001820522016483,0.9355662642706172,4.998425248455742,4.768857422177235,2.179893062536752,27.01254157617155,8.981545368318912,21.87466434125321,2.933543953677885,0
Lewisham,-0.0052618505081193,0.0022190701362985,7.766795664559383,0.8025369223375568,4.482794497073067,0.3323342631564135,7,0.0366041483847764,-0.0457647989630713,0.0131332752672035,8.040234103012853,16.4707183048232,5.594290445811927,0.577259639812567,1.120645853328064,0.0,0.8792976909614407,5.468911722087356,3.63668868439376,2.2309414930653566,19.28244791960707,11.20245958712057,25.496104555975837,2.969205050734537,1
Merton,-0.006093249973817,-0.0052363536858133,5.85271847558809,0.6435537190210533,3.250470860250489,0.2797443110016568,7,0.0401318982763606,-0.1213739675251368,0.0185664322523314,8.283770951370558,18.919275033735737,4.523996674133207,0.5120562671234433,1.209034362746657,0.0,0.6420013357989577,4.84431581195222,2.8019973374891523,2.0759406250993897,21.26464721731268,12.09897634181914,22.82398804141885,2.9191312821064863,1
Newham,-0.0044511688217733,0.0339974178448844,8.511891324449945,0.8673086989667911,5.598147973628331,0.3588919816916757,10,0.0419127004739261,-0.1362885476693628,0.1360042630553112,6.369145525244639,12.539509887894246,6.150088305073184,0.6992397425888167,1.2809920487534965,0.0,0.7883027992329208,4.177246852473679,4.919502156462946,2.0029712951663394,25.45365310128933,12.732416678668072,22.88693160715233,2.947852446558219,1
Redbridge,-0.0072715386617622,-0.0174024220180869,6.794781622446582,0.7862638600880649,4.179036702320186,0.3543605209521302,10,0.0419715352607465,-0.0811146133093004,-0.0098436039786656,6.638358868950222,18.30585944367064,5.569243667933305,0.5433474421560806,1.10616776426997,0.0,0.5682294554355029,4.110670867760213,3.307414569500602,1.8894102692396115,19.480723201125095,15.689191199340083,22.79138325061867,2.920696907047585,1
Richmond Upon Thames,-0.0026401864380466,-0.0018989277456137,5.269293943785157,0.6167851928075726,3.083315802639433,0.3029354108178433,5,0.052019945960398,-0.0677428338860839,-0.0404228225306951,8.488779597911144,19.16136362424055,3.53974748094372,0.5355494983224072,1.0967029567239732,0.0005334158349824,0.363256183623067,4.938363800267775,1.782675720511439,1.9539022035408145,23.638856143083466,14.822559222493078,19.67771015250359,2.861213779500303,1
Southwark,-0.007396902009522,0.0346474664491503,9.627836114359484,1.0704759657432732,6.535387124396119,0.3385504789415786,7,0.0508080762308566,-0.1698254092171052,0.1250252278388941,6.354301792337347,15.141687830011143,6.468492499954323,0.4317322273582664,0.9254014945279811,0.0,0.8017101200372719,4.515740047137924,4.985109531726746,1.9494637604370304,29.48294447591033,8.556629455721412,20.386786764840224,2.8917500154178253,0
Sutton,0.000386654970128,-0.0106514969310709,5.181926780516635,0.5346568506329797,2.978174792694155,0.1899125250813605,10,0.0335050051447484,-0.0195800490636345,0.0228263678261634,9.548093150599042,15.022806953377676,4.057181969705678,0.2999127431566077,1.1844985866481357,0.0,0.6181128487008135,5.323189942995679,2.066994445866795,2.2718129046078928,19.702281740329905,13.421356504292309,26.483758209719472,2.8914885322613,1
Tower Hamlets,-0.0057052047275888,0.0031687045363761,9.012283452717982,0.901907598551213,5.808917703204747,0.4582479977979374,7,0.0603178841587999,-0.1007230761798727,0.0466322954224683,6.606161060802069,15.126940491591204,7.257236416558861,0.5045278137128072,1.0515038809831825,0.0004042690815006,0.6933214747736094,5.461877425614489,3.7421167529107375,1.970003234152652,25.14412192755498,9.489408150064683,22.952377102199225,2.9318215173738285,0
Waltham Forest,-0.0137736242144678,0.0055067384631831,7.479711701285823,1.006213309125168,5.044099553981361,0.3569743743390062,7,0.0412283280087675,-0.1276382744887038,-0.0257347332482259,7.1787677462200525,16.429872592608397,5.633983127922142,0.8118653967712081,1.0809758387364343,0.0002667100515017,0.7670581081189206,4.329237555975772,3.6947343434532014,1.8336316040742624,21.00101616529622,14.293525080079696,22.945065730692196,2.95460513054011,1
